voltage,current,power,energy,timestamp,date
248.4,0.358,58.0,0.000175,18:05:2025 12:35:33.93,2025-05-18
248.3,0.359,58.2,0.000175,18:05:2025 12:35:39.05,2025-05-18
248.5,0.359,57.7,0.000175,18:05:2025 12:35:44.17,2025-05-18
248.4,0.355,57.4,0.000176,18:05:2025 12:35:49.29,2025-05-18
248.2,0.358,57.9,0.000176,18:05:2025 12:35:54.41,2025-05-18
248.5,0.356,57.6,0.000176,18:05:2025 12:35:59.53,2025-05-18
248.8,0.354,57.3,0.000176,18:05:2025 12:36:04.65,2025-05-18
248.8,0.358,57.6,0.000176,18:05:2025 12:36:10.06,2025-05-18
248.6,0.36,57.9,0.000176,18:05:2025 12:36:15.46,2025-05-18
248.9,0.356,57.4,0.000176,18:05:2025 12:36:20.66,2025-05-18
249.0,0.357,57.6,0.000176,18:05:2025 12:36:25.80,2025-05-18
249.1,0.366,59.0,0.000176,18:05:2025 12:36:33.65,2025-05-18
249.1,0.357,57.9,0.000176,18:05:2025 12:36:38.77,2025-05-18
249.1,0.358,57.8,0.000176,18:05:2025 12:36:44.02,2025-05-18
249.1,0.356,57.7,0.000176,18:05:2025 12:36:49.15,2025-05-18
249.2,0.356,57.7,0.000177,18:05:2025 12:36:54.26,2025-05-18
248.7,0.359,57.8,0.000177,18:05:2025 12:36:59.39,2025-05-18
248.6,0.354,57.4,0.000177,18:05:2025 12:37:04.49,2025-05-18
248.3,0.356,57.3,0.000177,18:05:2025 12:37:09.60,2025-05-18
248.1,0.353,57.4,0.000177,18:05:2025 12:37:14.70,2025-05-18
248.2,0.354,57.6,0.000177,18:05:2025 12:37:19.81,2025-05-18
248.2,0.353,57.1,0.000177,18:05:2025 12:37:35.04,2025-05-18
248.2,0.357,57.6,0.000177,18:05:2025 12:37:40.63,2025-05-18
248.6,0.36,58.0,0.000177,18:05:2025 12:37:45.75,2025-05-18
248.6,0.354,57.6,0.000178,18:05:2025 12:37:50.92,2025-05-18
248.4,0.35,57.0,0.000178,18:05:2025 12:37:56.02,2025-05-18
248.3,0.355,57.6,0.000178,18:05:2025 12:38:01.12,2025-05-18
248.3,0.357,58.0,0.000178,18:05:2025 12:38:09.78,2025-05-18
248.3,0.357,57.7,0.000178,18:05:2025 12:38:15.21,2025-05-18
248.1,0.362,58.3,0.000178,18:05:2025 12:38:20.38,2025-05-18
248.1,0.361,58.1,0.000178,18:05:2025 12:38:25.54,2025-05-18
248.4,0.357,57.7,0.000178,18:05:2025 12:38:30.87,2025-05-18
248.4,0.358,57.8,0.000178,18:05:2025 12:38:35.99,2025-05-18
248.1,0.355,57.3,0.000178,18:05:2025 12:38:41.33,2025-05-18
248.1,0.362,58.3,0.000178,18:05:2025 12:38:46.49,2025-05-18
248.4,0.36,58.0,0.000178,18:05:2025 12:38:51.64,2025-05-18
249.3,0.354,57.6,0.000179,18:05:2025 12:38:56.77,2025-05-18
248.3,0.358,57.7,0.000179,18:05:2025 12:39:05.07,2025-05-18
248.3,0.359,58.1,0.000179,18:05:2025 12:39:10.44,2025-05-18
248.1,0.359,58.2,0.000179,18:05:2025 12:39:15.55,2025-05-18
248.1,0.358,57.9,0.000179,18:05:2025 12:39:20.88,2025-05-18
248.2,0.354,57.2,0.000179,18:05:2025 12:39:26.26,2025-05-18
248.2,0.358,57.9,0.000179,18:05:2025 12:39:31.36,2025-05-18
248.0,0.359,58.1,0.000179,18:05:2025 12:39:36.48,2025-05-18
248.2,0.357,57.7,0.000179,18:05:2025 12:39:41.59,2025-05-18
247.9,0.359,57.8,0.000179,18:05:2025 12:39:46.73,2025-05-18
248.1,0.36,57.8,0.000179,18:05:2025 12:39:51.85,2025-05-18
247.7,0.361,58.0,0.00018,18:05:2025 12:39:56.99,2025-05-18
247.8,0.357,57.7,0.00018,18:05:2025 12:40:02.11,2025-05-18
247.5,0.357,57.4,0.00018,18:05:2025 12:40:07.25,2025-05-18
247.6,0.358,57.5,0.00018,18:05:2025 12:40:12.74,2025-05-18
247.6,0.362,58.2,0.00018,18:05:2025 12:40:18.05,2025-05-18
247.9,0.358,57.9,0.00018,18:05:2025 12:40:23.20,2025-05-18
248.2,0.356,57.6,0.00018,18:05:2025 12:40:28.63,2025-05-18
