voltage,current,power,energy,timestamp,date
242.5,0.349,56.6,5.5e-05,15:05:2025 15:56:15.44,2025-05-15
242.2,0.349,56.4,5.5e-05,15:05:2025 15:56:20.54,2025-05-15
242.1,0.346,55.8,5.5e-05,15:05:2025 15:56:25.64,2025-05-15
242.1,0.347,55.7,5.6e-05,15:05:2025 15:56:30.80,2025-05-15
242.2,0.345,55.8,5.6e-05,15:05:2025 15:56:35.93,2025-05-15
243.6,0.344,55.8,5.6e-05,15:05:2025 15:56:41.05,2025-05-15
242.9,0.344,55.8,5.6e-05,15:05:2025 15:56:46.19,2025-05-15
242.8,0.346,56.1,5.6e-05,15:05:2025 15:56:51.47,2025-05-15
242.7,0.358,58.3,5.6e-05,15:05:2025 15:56:56.64,2025-05-15
242.5,0.354,57.3,5.6e-05,15:05:2025 15:57:01.84,2025-05-15
242.4,0.354,56.9,5.6e-05,15:05:2025 15:57:06.95,2025-05-15
242.9,0.353,57.1,5.6e-05,15:05:2025 15:57:12.28,2025-05-15
243.2,0.352,57.3,5.6e-05,15:05:2025 15:57:17.51,2025-05-15
242.9,0.351,57.0,5.6e-05,15:05:2025 15:57:22.70,2025-05-15
242.8,0.357,57.9,5.7e-05,15:05:2025 15:57:29.03,2025-05-15
242.6,0.353,57.2,5.7e-05,15:05:2025 15:57:34.89,2025-05-15
242.8,0.358,58.2,5.7e-05,15:05:2025 15:57:40.18,2025-05-15
242.4,0.356,57.7,5.7e-05,15:05:2025 15:57:48.36,2025-05-15
242.2,0.355,57.4,5.7e-05,15:05:2025 15:57:53.49,2025-05-15
243.4,0.351,56.8,5.7e-05,15:05:2025 15:57:58.63,2025-05-15
243.2,0.351,57.1,5.7e-05,15:05:2025 15:58:03.76,2025-05-15
243.1,0.349,56.6,5.7e-05,15:05:2025 15:58:08.88,2025-05-15
243.2,0.35,56.8,5.7e-05,15:05:2025 15:58:14.04,2025-05-15
243.3,0.343,55.8,5.7e-05,15:05:2025 15:58:19.14,2025-05-15
241.6,0.347,55.9,5.7e-05,15:05:2025 15:58:24.25,2025-05-15
242.4,0.348,56.0,5.7e-05,15:05:2025 15:58:29.37,2025-05-15
242.9,0.346,55.9,5.7e-05,15:05:2025 15:58:34.51,2025-05-15
242.8,0.344,55.8,5.8e-05,15:05:2025 15:58:39.66,2025-05-15
243.0,0.344,55.8,5.8e-05,15:05:2025 15:58:44.80,2025-05-15
242.7,0.346,55.8,5.8e-05,15:05:2025 15:58:49.91,2025-05-15
242.5,0.35,56.3,5.8e-05,15:05:2025 15:58:55.14,2025-05-15
242.8,0.352,56.6,5.8e-05,15:05:2025 15:59:00.28,2025-05-15
242.9,0.349,56.3,5.8e-05,15:05:2025 15:59:05.39,2025-05-15
242.6,0.35,56.5,5.8e-05,15:05:2025 15:59:10.70,2025-05-15
243.3,0.35,56.6,5.8e-05,15:05:2025 15:59:16.62,2025-05-15
243.5,0.351,56.9,5.8e-05,15:05:2025 15:59:21.78,2025-05-15
243.0,0.35,56.7,5.8e-05,15:05:2025 15:59:26.91,2025-05-15
242.8,0.352,56.9,5.8e-05,15:05:2025 15:59:32.06,2025-05-15
242.6,0.354,57.1,5.9e-05,15:05:2025 15:59:37.17,2025-05-15
243.4,0.353,56.8,5.9e-05,15:05:2025 15:59:42.28,2025-05-15
243.7,0.354,57.7,5.9e-05,15:05:2025 15:59:47.42,2025-05-15
243.5,0.354,57.7,5.9e-05,15:05:2025 15:59:52.53,2025-05-15
243.4,0.352,57.2,5.9e-05,15:05:2025 15:59:57.63,2025-05-15
243.2,0.353,56.9,5.9e-05,15:05:2025 16:00:02.73,2025-05-15
243.2,0.35,57.0,5.9e-05,15:05:2025 16:00:07.84,2025-05-15
242.1,0.354,57.3,5.9e-05,15:05:2025 16:00:12.96,2025-05-15
240.9,0.364,57.5,6e-05,15:05:2025 16:47:24.18,2025-05-15
241.5,0.361,57.7,6.4e-05,15:05:2025 16:47:24.23,2025-05-15
244.4,0.365,58.0,7.5e-05,15:05:2025 16:47:24.33,2025-05-15
243.2,0.368,57.7,0.000103,15:05:2025 16:47:24.51,2025-05-15
242.0,0.359,57.7,5.9e-05,15:05:2025 16:47:24.16,2025-05-15
243.7,0.367,58.0,7.5e-05,15:05:2025 16:47:24.35,2025-05-15
245.2,0.362,58.1,0.000101,15:05:2025 16:47:24.49,2025-05-15
244.7,0.367,58.1,9.8e-05,15:05:2025 16:47:24.49,2025-05-15
246.0,0.366,58.3,9.6e-05,15:05:2025 16:47:24.48,2025-05-15
242.3,0.351,56.7,6.3e-05,15:05:2025 16:47:24.23,2025-05-15
245.8,0.359,58.0,8.9e-05,15:05:2025 16:47:24.44,2025-05-15
244.2,0.363,57.6,7.7e-05,15:05:2025 16:47:24.36,2025-05-15
243.6,0.369,58.3,9.5e-05,15:05:2025 16:47:24.48,2025-05-15
244.2,0.366,57.6,9.3e-05,15:05:2025 16:47:24.47,2025-05-15
241.7,0.362,57.6,7.2e-05,15:05:2025 16:47:24.29,2025-05-15
243.9,0.364,57.6,7.7e-05,15:05:2025 16:47:24.36,2025-05-15
241.7,0.372,57.8,8.4e-05,15:05:2025 16:47:24.42,2025-05-15
243.4,0.365,58.0,7.4e-05,15:05:2025 16:47:24.31,2025-05-15
243.6,0.356,57.2,6.8e-05,15:05:2025 16:47:24.27,2025-05-15
242.8,0.372,58.2,8.1e-05,15:05:2025 16:47:24.41,2025-05-15
243.6,0.377,58.7,8.5e-05,15:05:2025 16:47:24.42,2025-05-15
244.3,0.37,57.6,8.7e-05,15:05:2025 16:47:24.43,2025-05-15
245.7,0.356,57.5,9e-05,15:05:2025 16:47:24.45,2025-05-15
242.5,0.369,57.6,8.1e-05,15:05:2025 16:47:24.41,2025-05-15
247.0,0.359,58.1,8.8e-05,15:05:2025 16:47:24.43,2025-05-15
241.5,0.358,57.2,6.1e-05,15:05:2025 16:47:24.21,2025-05-15
241.7,0.361,57.4,6.5e-05,15:05:2025 16:47:24.25,2025-05-15
244.9,0.358,57.2,0.000101,15:05:2025 16:47:24.49,2025-05-15
244.2,0.361,56.9,9.3e-05,15:05:2025 16:47:24.47,2025-05-15
243.2,0.369,58.0,7.9e-05,15:05:2025 16:47:24.37,2025-05-15
242.8,0.371,58.2,7.8e-05,15:05:2025 16:47:24.37,2025-05-15
243.2,0.366,57.4,0.000102,15:05:2025 16:47:24.50,2025-05-15
241.9,0.358,57.4,6.5e-05,15:05:2025 16:47:24.24,2025-05-15
243.3,0.358,57.6,6.7e-05,15:05:2025 16:47:24.26,2025-05-15
243.6,0.366,58.4,7.4e-05,15:05:2025 16:47:24.32,2025-05-15
243.6,0.361,57.9,7e-05,15:05:2025 16:47:24.28,2025-05-15
240.5,0.356,56.7,6.2e-05,15:05:2025 16:47:24.22,2025-05-15
244.2,0.357,57.5,6.8e-05,15:05:2025 16:47:24.27,2025-05-15
243.0,0.359,57.9,5.9e-05,15:05:2025 16:47:24.17,2025-05-15
241.8,0.363,57.3,7.3e-05,15:05:2025 16:47:24.30,2025-05-15
243.0,0.363,57.6,6.9e-05,15:05:2025 16:47:24.28,2025-05-15
243.3,0.363,57.3,7.6e-05,15:05:2025 16:47:24.35,2025-05-15
243.9,0.363,57.4,7.7e-05,15:05:2025 16:47:24.36,2025-05-15
243.7,0.365,57.4,7.6e-05,15:05:2025 16:47:24.35,2025-05-15
243.0,0.367,57.5,7.9e-05,15:05:2025 16:47:24.40,2025-05-15
241.7,0.359,57.2,6e-05,15:05:2025 16:47:24.20,2025-05-15
243.1,0.36,57.5,6.7e-05,15:05:2025 16:47:24.26,2025-05-15
241.8,0.363,57.9,6.6e-05,15:05:2025 16:47:24.25,2025-05-15
244.5,0.364,57.7,7.5e-05,15:05:2025 16:47:24.32,2025-05-15
243.0,0.368,58.0,9.4e-05,15:05:2025 16:47:24.47,2025-05-15
241.4,0.369,58.0,7.3e-05,15:05:2025 16:47:24.30,2025-05-15
243.3,0.361,57.8,6.8e-05,15:05:2025 16:47:24.27,2025-05-15
246.1,0.361,58.2,9.7e-05,15:05:2025 16:47:24.48,2025-05-15
242.8,0.357,57.3,6.4e-05,15:05:2025 16:47:24.24,2025-05-15
244.9,0.364,57.4,9.2e-05,15:05:2025 16:47:24.46,2025-05-15
242.8,0.36,57.8,6.6e-05,15:05:2025 16:47:24.25,2025-05-15
245.1,0.367,57.8,9.2e-05,15:05:2025 16:47:24.46,2025-05-15
241.9,0.356,57.0,6.2e-05,15:05:2025 16:47:24.22,2025-05-15
243.0,0.37,58.1,7.8e-05,15:05:2025 16:47:24.36,2025-05-15
241.6,0.363,57.8,7.2e-05,15:05:2025 16:47:24.29,2025-05-15
243.5,0.369,57.8,0.000103,15:05:2025 16:47:24.50,2025-05-15
242.4,0.368,57.0,8.2e-05,15:05:2025 16:47:24.41,2025-05-15
242.3,0.363,57.9,6e-05,15:05:2025 16:47:24.18,2025-05-15
244.8,0.37,57.5,8.7e-05,15:05:2025 16:47:24.43,2025-05-15
244.8,0.361,57.8,0.000101,15:05:2025 16:47:24.49,2025-05-15
